task,average score
ko_quiz_1.csv,0.08316831683168317
ko_quiz_2.csv,0.021621621621621623
ko_quiz_3.csv,0.09243697478991597
ko_quiz_4.csv,0.017167381974248927
ko_quiz_5.csv,0.047516198704103674
ko_quiz_6.csv,0.025157232704402517
ko_quiz_7.csv,0.03188405797101449
ko_quiz_8.csv,0.10204081632653061
nli.csv,0.06106106106106106
number_1.csv,0.04904904904904905
number_2.csv,0.03903903903903904
number_3.csv,0.008274984086569064
reasoning.csv,0.497
spelling_correct.csv,0.051656934278195586
summarization.csv,0.7120201219320297
translation.csv,1.8684613018474698
