task_name,index,model_name,prompt,output,score
ko_quiz_1,0,kullm12.8b,"'가방에 신발을 우겨넣었다. '에서 '우겨넣다'이 바른 말이면 1, '욱여넣다'이 바른 말이면 2라고 대답해.",1. 우겨넣다2. 욱여넣다,0
ko_quiz_1,1,kullm12.8b,"'귀뜸이라도 해주지 그랬어. '에서 '귀뜸'이 바른 말이면 1, '귀띔'이 바른 말이면 2라고 대답해.","혼란을 드려 죄송합니다. ""귀띔이라도 해주지 그랬니""가 바른 말이므로 '귀띔'으로 써야 합니다.",0
ko_quiz_1,2,kullm12.8b,"'정월 대보름 달맏이 행사가 열린다. '에서 '달맏이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해.",정월 대보름 달맞이 행사가 열립니다. 1.2.3.,0
ko_quiz_1,3,kullm12.8b,"'새벽녁에 서리가 내렸다. '에서 '새벽녁'이 바른 말이면 1, '새벽녘'이 바른 말이면 2라고 대답해.","'새벽녁'이 바른 말이면 1, '새벽녘'이 바른 말이면 2.",0
ko_quiz_1,4,kullm12.8b,"'베갯잇을 눈물로 적시다.'에서 '베갯잎'이 바른 말이면 1, '베갯잇'이 바른 말이면 2라고 대답해.",베갯잇'이 바른 말입니다.,0
ko_quiz_1,5,kullm12.8b,"'뾰쪽뾰쪽 솟은 날카로운 바위.'에서 '뾰쪽뾰쪽'이 바른 말이면 1, '뾰쭉뾰쭉'이 바른 말이면 2라고 대답해.",정답은 2입니다. '뾰족뾰족'이 문법적으로 바른 표현입니다.,0
ko_quiz_1,6,kullm12.8b,"'그가 나를 알은체하며 지나갔다.'에서 '알은 체'이 바른 말이면 1, '아는 체'이 바른 말이면 2라고 대답해.","정답은 2입니다. ""알은체""는 잘못된 표현이고 ""아는 체""가 맞는 표현입니다. '알은체'는 '알은체' 또는 '아는체'의 잘못된 표현입니다.",0
ko_quiz_1,7,kullm12.8b,"'네 얼굴 보기가 창피하다.'에서 '챙피'이 바른 말이면 1, '창피'이 바른 말이면 2라고 대답해.",네 얼굴을 보기가 창피하다.  A) Chaengpin B) Chaangpin C) Chaangpin D) Chaangpaen  E) Chaangpoen F) Chaangpaen G) Chaangpop H) Chaangpop I) Chaangpoop J) Chaangpop K) Chaangpop L) Chaangpop M) Chaangpop N) Chaangpop P) Chaangpop Q) Chaangpop R) Chaangpop S) Chaangpop T) Chaangpoens U) Chaangpoens V) Chaangpaens W) Chaangpaens X) Chaangpaens Y) Chaangpoens Z) Chaangpoens,0
ko_quiz_1,8,kullm12.8b,"'달걀 껍질은 따로 버려요. '에서 '껍질'이 바른 말이면 1, '껍데기'이 바른 말이면 2라고 대답해.","제가 제공한 예문의 ""달걀 껍질은 따로 버려라""라는 문구는 ""껍질""이 바른 말입니다. 따라서 1을 입력하세요.",0
ko_quiz_1,9,kullm12.8b,"'낙엽이 쌓인 거리를 혼자 걸었다.'에서 '쌓인'이 바른 말이면 1, '쌓여진'이 바른 말이면 2라고 대답해.",낙엽이 쌓인 거리를 혼자 걸었습니다.,0
ko_quiz_1,10,kullm12.8b,"'구레나룻은 매력적이다.'에서 '구레나룻'이 바른 말이면 1, '구렛나루'이 바른 말이면 2라고 대답해.",혼란을 드려 죄송합니다. 올바른 표현은 '구레나룻'입니다.,0
ko_quiz_1,11,kullm12.8b,"'자투리 나무로 만드는 소품'에서 '짜투리'이 바른 말이면 1, '자투리'이 바른 말이면 2라고 대답해.",1. 짜투리2. 자투리,0
ko_quiz_1,12,kullm12.8b,"'집에 있다가 나왔어요.'에서 '있다가'이 바른 말이면 1, '이따가'이 바른 말이면 2라고 대답해.","네, ""집에 있다가 나왔어요.""에서 ""있다""는 ""있다""의 과거형이므로 2번이 맞습니다. 1번은 ""집에서 나왔어요.""의 바른 표현입니다.",0
ko_quiz_1,13,kullm12.8b,"'닭 한 마리가 통째로 들어간 삼계탕'에서 '통째로'이 바른 말이면 1, '통채로'이 바른 말이면 2라고 대답해.","닭 한 마리가 통째로 들어간 삼계탕에서 '통째로'가 바른 말이면 1, '통채로'가 바른 말이면 2입니다.",0
ko_quiz_1,14,kullm12.8b,"'힘찬 발걸음을 내디뎠다.'에서 '내디뎠다'이 바른 말이면 1, '내딛었다'이 바른 말이면 2라고 대답해.",1. '내딛었다'가 바른 말입니다. 2. '내딛다'가 바른 말입니다.,0
ko_quiz_1,15,kullm12.8b,"'그 구역은 교통량이 밀집되었다.'에서 '교통양'이 바른 말이면 1, '교통량'이 바른 말이면 2라고 대답해.","알겠습니다. ""그 구역은 교통량이 밀집되었다""가 바른 말인 경우 ""교통량""이 올바르고, ""그 구역은 교통량이 밀집되어 있었다""가 바른 말인 경우 ""교통량""이 올바르므로 1은 1이며, 둘 다 올바른 말입니다.",0
ko_quiz_1,16,kullm12.8b,"'낡은 지붕에서 비가 새다.'에서 '새다'이 바른 말이면 1, '세다'이 바른 말이면 2라고 대답해.",낡은 지붕에서 비가 새다. 1. 새다 (1),1
ko_quiz_1,17,kullm12.8b,"'두 시간 가까히 기다렸다. '에서 '가까히'이 바른 말이면 1, '가까이'이 바른 말이면 2라고 대답해.",두 시간 가까이 기다렸어요.,0
ko_quiz_1,18,kullm12.8b,"'자세를 반드시 해 보세요. '에서 '반드시'이 바른 말이면 1, '반듯이'이 바른 말이면 2, '반듯히'이 바른 말이면 3라고 대답해.",'반드시'가 바른 표현입니다.,0
