task,average score
ko_quiz_1.csv,0.5854785478547855
ko_quiz_2.csv,0.3837837837837838
ko_quiz_3.csv,0.31932773109243695
ko_quiz_4.csv,0.19313304721030042
ko_quiz_5.csv,0.4427645788336933
ko_quiz_6.csv,0.5723270440251572
ko_quiz_7.csv,0.25217391304347825
ko_quiz_8.csv,0.30612244897959184
nli.csv,0.3083083083083083
number_1.csv,0.07907907907907907
number_2.csv,0.6336336336336337
number_3.csv,0.036282622533418206
reasoning.csv,0.663
spelling_correct.csv,0.34173928836382106
summarization.csv,0.7357575473189354
