task,average score
ko_quiz_1.csv,0.08316831683168317
ko_quiz_2.csv,0.07027027027027027
ko_quiz_3.csv,0.008403361344537815
ko_quiz_4.csv,0.017167381974248927
ko_quiz_5.csv,0.004319654427645789
ko_quiz_6.csv,0.031446540880503145
ko_quiz_7.csv,0.02318840579710145
ko_quiz_8.csv,0.02040816326530612
nli.csv,0.05005005005005005
number_1.csv,0.009009009009009009
number_2.csv,0.031031031031031032
number_3.csv,0.031190324633991087
reasoning.csv,0.486
spelling_correct.csv,0.0520033092595544
summarization.csv,0.7121426434516906
translation.csv,2.0062538012005025
